"whiskey_id","clustering"
0,0
1,1
2,2
3,3
4,4
5,3
6,5
7,6
8,-1
9,2
10,7
11,8
12,9
13,10
14,11
15,12
16,13
17,14
18,15
19,16
20,17
21,-1
22,18
23,19
24,-1
25,20
26,-1
27,21
28,22
29,23
30,24
31,25
32,-1
33,12
34,26
35,-1
36,27
37,-1
38,28
39,29
40,-1
41,30
42,31
43,32
44,17
45,33
46,12
47,34
48,35
49,36
50,37
51,38
52,30
53,-1
54,37
55,30
56,39
57,37
58,12
59,-1
60,-1
61,40
62,41
63,42
64,43
65,44
66,-1
67,-1
68,-1
69,17
70,36
71,45
72,46
73,47
74,44
75,48
76,49
77,17
78,28
79,50
80,51
81,52
82,53
83,54
84,44
85,17
86,46
87,55
88,56
89,57
90,56
91,58
92,59
93,52
94,0
95,57
96,60
97,61
98,62
99,-1
100,30
101,44
102,44
103,63
104,30
105,63
106,64
107,63
108,64
109,60
110,63
111,65
112,66
113,67
114,58
115,26
116,28
117,28
118,68
119,51
120,3
121,44
122,64
123,44
124,69
125,53
126,36
127,70
128,-1
129,63
130,64
131,63
132,63
133,47
134,-1
135,68
136,71
137,72
138,73
139,74
140,75
141,67
142,76
143,77
144,78
145,79
146,57
147,-1
148,80
149,-1
150,-1
151,0
152,81
153,36
154,0
155,-1
156,82
157,83
158,84
159,3
160,42
161,85
162,28
163,86
164,34
165,87
166,47
167,88
168,44
169,53
170,89
171,55
172,25
173,90
174,91
175,55
176,92
177,36
178,93
179,94
180,-1
181,-1
182,85
183,95
184,2
185,87
186,43
187,96
188,97
189,69
190,-1
191,98
192,2
193,99
194,-1
195,100
196,101
197,-1
198,-1
199,102
200,103
201,38
202,104
203,29
204,90
205,105
206,104
207,106
208,22
209,-1
210,-1
211,107
212,108
213,109
214,53
215,110
216,111
217,89
218,112
219,113
220,43
221,114
222,27
223,104
224,103
225,115
226,28
227,46
228,68
229,115
230,-1
231,19
232,65
233,47
234,116
235,117
236,118
237,112
238,42
239,119
240,17
241,22
242,56
243,120
244,94
245,50
246,89
247,-1
248,112
249,103
250,121
251,-1
252,122
253,55
254,123
255,48
256,36
257,22
258,124
259,125
260,56
261,-1
262,126
263,127
264,17
265,30
266,40
267,0
268,128
269,91
270,55
271,28
272,56
273,129
274,130
275,131
276,59
277,-1
278,-1
279,103
280,128
281,12
282,80
283,52
284,63
285,63
286,65
287,49
288,52
289,63
290,120
291,63
292,60
293,132
294,133
295,134
296,135
297,11
298,-1
299,63
300,-1
301,136
302,44
303,-1
304,-1
305,84
306,137
307,-1
308,84
309,-1
310,59
311,-1
312,138
313,139
314,-1
315,140
316,-1
317,-1
318,32
319,-1
320,63
321,141
322,63
323,142
324,143
325,12
326,-1
327,144
328,139
329,145
330,146
331,63
332,-1
333,-1
334,-1
335,85
336,147
337,-1
338,148
339,110
340,36
341,100
342,70
343,68
344,149
345,-1
346,150
347,151
348,152
349,36
350,-1
351,64
352,153
353,70
354,-1
355,16
356,63
357,-1
358,-1
359,-1
360,154
361,155
362,63
363,135
364,69
365,156
366,157
367,-1
368,145
369,63
370,47
371,158
372,-1
373,-1
374,17
375,54
376,-1
377,36
378,159
379,45
380,160
381,-1
382,161
383,162
384,163
385,-1
386,-1
387,63
388,63
389,155
390,164
391,22
392,-1
393,-1
394,103
395,103
396,64
397,-1
398,128
399,165
400,166
401,167
402,168
403,161
404,169
405,170
406,-1
407,112
408,63
409,44
410,100
411,139
412,-1
413,145
414,171
415,172
416,30
417,-1
418,173
419,174
420,-1
421,-1
422,44
423,175
424,176
425,46
426,174
427,177
428,-1
429,137
430,178
431,179
432,70
433,-1
434,180
435,27
436,-1
437,139
438,181
439,27
440,54
441,47
442,106
443,155
444,103
445,138
446,182
447,183
448,123
449,115
450,15
451,184
452,69
453,63
454,185
455,53
456,186
457,187
458,160
459,44
460,128
461,52
462,188
463,91
464,139
465,189
466,58
467,190
468,28
469,180
470,30
471,187
472,139
473,191
474,-1
475,36
476,44
477,192
478,12
479,44
480,64
481,146
482,70
483,12
484,186
485,44
486,-1
487,193
488,52
489,194
490,-1
491,-1
492,131
493,153
494,50
495,-1
496,-1
497,-1
498,93
499,-1
500,58
501,-1
502,195
503,-1
504,180
505,69
506,163
507,36
508,196
509,24
510,2
511,-1
512,197
513,48
514,-1
515,155
516,198
517,199
518,121
519,200
520,-1
521,-1
522,201
523,81
524,-1
525,48
526,187
527,202
528,203
529,184
530,-1
531,204
532,138
533,-1
534,-1
535,12
536,122
537,205
538,193
539,-1
540,-1
541,132
542,-1
543,206
544,207
545,208
546,21
547,157
548,-1
549,209
550,-1
551,-1
552,168
553,210
554,211
555,197
556,212
557,36
558,181
559,-1
560,213
561,214
562,215
563,82
564,216
565,79
566,103
567,217
568,-1
569,142
570,128
571,111
572,218
573,-1
574,219
575,167
576,157
577,183
578,34
579,-1
580,30
581,-1
582,-1
583,52
584,103
585,12
586,155
587,220
588,84
589,46
590,139
591,221
592,222
593,189
594,69
595,157
596,223
597,-1
598,224
599,225
600,-1
601,226
602,55
603,217
604,-1
605,17
606,227
607,228
608,52
609,229
610,38
611,-1
612,69
613,-1
614,55
615,-1
616,230
617,-1
618,146
619,231
620,-1
621,-1
622,159
623,197
624,-1
625,-1
626,232
627,217
628,205
629,105
630,-1
631,233
632,63
633,-1
634,234
635,65
636,169
637,235
638,37
639,16
640,236
641,69
642,52
643,94
644,63
645,184
646,55
647,-1
648,82
649,161
650,-1
651,36
652,146
653,29
654,220
655,103
656,2
657,-1
658,-1
659,237
660,149
661,237
662,125
663,-1
664,181
665,238
666,28
667,239
668,199
669,-1
670,-1
671,-1
672,11
673,44
674,87
675,27
676,240
677,241
678,144
679,57
680,60
681,44
682,242
683,126
684,243
685,-1
686,68
687,147
688,-1
689,244
690,63
691,245
692,131
693,246
694,-1
695,160
696,131
697,11
698,139
699,47
700,47
701,-1
702,61
703,17
704,47
705,189
706,17
707,45
708,247
709,103
710,-1
711,55
712,248
713,68
714,65
715,249
716,63
717,-1
718,65
719,64
720,250
721,251
722,56
723,65
724,64
725,49
726,30
727,220
728,30
729,-1
730,12
731,-1
732,46
733,252
734,2
735,253
736,58
737,-1
738,63
739,94
740,254
741,255
742,64
743,254
744,187
745,0
746,-1
747,-1
748,-1
749,59
750,-1
751,64
752,52
753,63
754,48
755,63
756,52
757,47
758,256
759,44
760,125
761,-1
762,125
763,254
764,60
765,155
766,-1
767,111
768,1
769,233
770,257
771,128
772,44
773,258
774,134
775,69
776,212
777,45
778,113
779,238
780,69
781,81
782,72
783,135
784,259
785,260
786,112
787,180
788,165
789,207
790,234
791,81
792,203
793,-1
794,260
795,-1
796,256
797,27
798,-1
799,-1
800,92
801,61
802,115
803,118
804,-1
805,261
806,88
807,262
808,259
809,263
810,239
811,47
812,48
813,84
814,74
815,-1
816,118
817,101
818,148
819,167
820,138
821,264
822,178
823,265
824,266
825,30
826,41
827,-1
828,76
829,121
830,48
831,103
832,-1
833,-1
834,267
835,-1
836,268
837,269
838,270
839,271
840,18
841,222
842,248
843,90
844,49
845,135
846,272
847,36
848,212
849,273
850,274
851,-1
852,57
853,275
854,120
855,276
856,-1
857,277
858,61
859,179
860,27
861,179
862,278
863,279
864,67
865,280
866,-1
867,194
868,121
869,-1
870,12
871,131
872,84
873,281
874,260
875,282
876,90
877,53
878,118
879,283
880,284
881,103
882,81
883,97
884,31
885,285
886,112
887,41
888,131
889,-1
890,59
891,286
892,108
893,131
894,106
895,287
896,103
897,41
898,288
899,-1
900,1
901,289
902,290
903,121
904,284
905,104
906,291
907,55
908,-1
909,59
910,98
911,71
912,49
913,27
914,-1
915,277
916,260
917,2
918,63
919,292
920,36
921,131
922,251
923,293
924,294
925,194
926,-1
927,254
928,131
929,175
930,46
931,-1
932,293
933,195
934,295
935,257
936,284
937,-1
938,-1
939,120
940,234
941,2
942,111
943,48
944,296
945,297
946,298
947,299
948,300
949,18
950,-1
951,279
952,131
953,52
954,92
955,-1
956,-1
957,179
958,239
959,135
960,178
961,128
962,175
963,59
964,301
965,-1
966,263
967,287
968,174
969,97
970,92
971,91
972,178
973,84
974,12
975,65
976,80
977,302
978,161
979,-1
980,91
981,131
982,-1
983,17
984,303
985,79
986,23
987,304
988,81
989,293
990,68
991,283
992,103
993,305
994,306
995,112
996,12
997,128
998,307
999,112
1000,90
1001,17
1002,85
1003,63
1004,106
1005,78
1006,260
1007,-1
1008,131
1009,138
1010,303
1011,82
1012,220
1013,308
1014,200
1015,309
1016,63
1017,53
1018,120
1019,36
1020,310
1021,36
1022,206
1023,0
1024,49
