"fruity_words","wood_words","spicy_words","sweet_words","maillard_words","smoke_words","sherry","white","hot","bitter","complex","subtle","floral","whiskey_id"
2,1,2,0,0,0,0,0,0,0,0,0,1,0
2,0,0,1,2,0,0,0,0,0,0,0,0,1
1,2,1,1,1,0,0,0,0,0,0,0,0,2
1,0,0,3,0,0,0,0,0,0,0,0,0,3
2,0,0,3,1,0,0,0,0,0,0,0,0,4
1,0,0,3,0,0,0,0,0,0,1,0,0,5
0,4,1,1,1,0,0,0,1,1,0,0,0,6
2,0,1,3,0,0,0,0,0,1,0,0,0,7
1,5,3,3,3,0,0,0,0,0,0,0,0,8
0,2,1,1,1,0,0,0,0,0,0,0,0,9
5,1,1,0,3,0,0,0,0,0,0,0,0,10
2,2,4,2,2,0,0,1,0,0,0,0,0,11
3,2,5,0,1,0,0,2,0,0,0,1,0,12
1,0,0,2,3,0,0,0,0,0,0,0,0,13
4,2,0,0,1,0,0,0,0,1,0,0,0,14
2,2,1,0,1,0,0,0,0,0,0,0,0,15
0,2,0,2,2,0,0,0,1,0,0,0,0,16
1,3,0,3,1,0,0,0,0,0,0,0,0,17
3,1,0,2,2,0,0,0,0,0,0,0,0,18
3,0,3,1,1,0,0,2,0,0,0,0,0,19
1,0,1,0,1,0,0,0,0,2,0,0,0,20
3,0,1,0,4,0,0,0,0,0,0,0,0,21
0,0,1,1,2,0,3,0,0,0,0,1,0,22
2,1,1,0,4,0,0,0,0,0,2,0,1,23
4,2,2,0,6,0,0,0,0,0,1,0,0,24
2,1,1,1,4,0,0,0,0,0,0,0,0,25
3,1,1,0,7,0,0,0,0,0,0,0,0,26
2,0,1,1,3,0,0,0,0,0,0,0,1,27
0,2,1,2,0,0,0,0,0,0,0,0,1,28
3,1,4,1,2,0,0,0,0,1,0,0,0,29
1,3,0,1,1,0,0,0,1,0,0,0,0,30
2,2,1,2,2,0,0,0,0,0,0,0,0,31
2,2,1,0,4,0,0,0,0,1,0,0,0,32
2,2,1,0,1,0,0,0,0,0,0,0,0,33
4,1,3,0,0,0,0,0,0,1,0,0,0,34
6,1,5,0,1,0,0,1,0,0,0,0,0,35
2,1,1,1,1,0,1,1,0,0,0,0,0,36
0,1,1,1,1,2,0,0,0,0,0,0,0,37
3,0,0,1,1,0,0,0,0,0,0,0,0,38
4,3,3,0,1,0,0,0,0,2,1,0,0,39
0,2,0,2,1,3,0,0,1,0,0,0,0,40
4,1,0,0,0,0,0,0,0,0,0,0,0,41
2,3,2,1,1,0,0,0,0,0,0,0,0,42
3,2,1,0,3,0,0,0,0,1,0,0,0,43
0,0,1,0,1,0,0,0,0,0,0,0,0,44
2,3,1,2,2,0,0,0,0,0,0,0,0,45
0,2,1,0,1,0,0,1,0,0,0,0,0,46
1,3,0,0,1,0,0,0,0,0,0,0,0,47
0,1,1,5,1,0,0,0,0,0,1,0,0,48
0,1,1,0,1,0,1,0,0,0,0,0,0,49
1,4,0,1,1,0,0,0,1,0,0,0,0,50
1,2,0,1,2,0,0,0,0,0,0,0,0,51
0,1,0,0,0,0,0,0,0,0,0,0,0,52
0,6,4,1,0,0,0,0,0,0,0,0,0,53
0,4,0,1,1,0,0,1,0,0,0,0,0,54
3,1,0,0,0,0,0,0,0,0,0,0,1,55
0,5,0,1,2,0,0,1,0,0,0,0,1,56
1,4,0,1,1,0,0,0,0,0,0,0,0,57
1,2,1,0,1,0,0,0,0,0,0,0,0,58
0,4,1,2,4,0,0,0,0,0,0,0,0,59
1,2,1,4,2,0,0,1,0,0,0,1,0,60
1,3,0,1,2,0,0,0,0,1,0,0,0,61
0,1,3,1,1,0,0,0,0,0,0,0,0,62
0,1,2,2,0,0,0,0,0,0,0,1,0,63
0,2,0,1,1,0,0,0,0,0,0,1,0,64
0,0,0,1,0,0,0,0,0,0,0,0,0,65
0,1,1,2,1,1,0,0,0,0,0,0,0,66
0,2,3,2,1,2,0,0,0,0,1,0,0,67
0,2,1,0,2,4,0,0,0,0,0,0,0,68
1,0,1,0,1,0,0,1,0,0,0,0,0,69
2,1,1,0,1,0,0,1,0,0,1,0,0,70
2,0,2,1,0,0,0,0,0,0,0,0,0,71
2,1,0,2,1,0,0,0,0,0,0,1,0,72
1,0,1,1,0,0,0,0,0,0,0,0,0,73
0,0,0,1,0,0,0,0,0,0,0,0,0,74
1,1,2,0,1,0,0,0,0,1,0,0,0,75
1,1,0,0,1,0,2,0,1,1,0,0,0,76
1,0,1,0,1,0,0,0,1,0,0,0,0,77
2,0,0,1,1,0,0,1,0,0,0,0,0,78
